Column_Name
"[601, 941, 520, 941, 615, 429, 42, 941, 881, 149, 881, 58, 768, 600, 768, 932, 60, 193, 151, 939, 498, 590, 317, 501, 395, 820, 84, 350, 839, 820, 839, 655, 839, 415, 33, 501, 510, 968, 291, 961, 965, 392, 383, 695, 965, 71, 297, 230, 361, 829, 361, 767, 39, 695, 917, 695, 39, 568, 667, 989, 552, 444, 259, 444, 519, 568, 912, 788, 652, 985, 868, 788, 980, 433, 980, 929, 19, 462, 980, 238, 980, 238, 980, 413, 804, 981, 804, 141, 980, 831, 476, 243, 703, 264, 572, 940, 673, 747, 323, 309]"
"[904, 727, 894, 382, 471, 743, 360, 84, 908, 499, 638, 12, 925, 314, 984, 118, 963, 241, 788, 514, 950, 938, 706, 511, 745, 830, 219, 450, 243, 309, 994, 146, 418, 648, 865, 145, 287, 99, 402, 85, 735, 442, 382, 940, 190, 568, 683, 187, 44, 384, 984, 442, 602, 149, 346, 612, 866, 137, 226, 555, 140, 452, 778, 635, 513, 138, 318, 243, 491, 909, 152, 79, 364, 769, 108, 160, 241, 974, 66, 313, 775, 78, 961, 814, 30, 237, 895, 249, 917, 287, 49, 247, 893, 787, 576, 133, 645, 472, 724, 527]"
"[490, 337, 168, 564, 168, 564, 150, 337, 131, 735, 96, 990, 172, 918, 563, 594, 359, 461, 277, 918, 990, 918, 434, 554, 367, 488, 434, 804, 172, 488, 799, 968, 879, 488, 434, 27, 630, 387, 128, 387, 815, 968, 461, 570, 397, 570, 815, 968, 956, 6, 397, 6, 397, 375, 317, 391, 397, 375, 755, 973, 273, 375, 999, 391, 999, 865, 198, 375, 198, 511, 676, 672, 676, 111, 98, 375, 198, 731, 473, 816, 473, 277, 326, 355, 661, 47, 98, 282, 814, 871, 814, 282, 357, 43, 260, 43, 695, 43, 123, 796]"
"[186, 592, 438, 958, 389, 765, 395, 777, 64, 765, 880, 256, 598, 921, 158, 646, 598, 646, 604, 646, 605, 646, 436, 771, 870, 39, 870, 859, 783, 253, 870, 39, 997, 910, 72, 910, 997, 808, 427, 499, 488, 819, 240, 499, 480, 497, 972, 819, 369, 919, 869, 423, 972, 681, 82, 217, 880, 208, 683, 681, 30, 222, 631, 911, 631, 56, 108, 943, 488, 312, 569, 401, 643, 943, 82, 162, 503, 595, 527, 595, 488, 422, 643, 190, 760, 61, 760, 370, 155, 771, 46, 122, 558, 747, 558, 122, 134, 122, 771, 867]"
"[763, 543, 636, 874, 495, 343, 670, 343, 273, 621, 736, 743, 245, 959, 750, 270, 582, 94, 278, 654, 582, 87, 726, 426, 513, 729, 2, 971, 983, 113, 648, 113, 35, 476, 616, 307, 600, 27, 790, 873, 616, 271, 97, 881, 839, 1, 407, 906, 925, 299, 860, 111, 741, 364, 860, 863, 400, 392, 599, 238, 378, 255, 704, 317, 817, 210, 200, 441, 671, 356, 98, 352, 51, 641, 418, 627, 641, 356, 634, 832, 352, 745, 400, 497, 327, 432, 232, 238, 155, 823, 244, 317, 536, 185, 614, 974, 614, 965, 962, 95]"
"[903, 100, 59, 771, 28, 706, 936, 255, 339, 944, 427, 903, 252, 382, 339, 658, 573, 630, 945, 210, 842, 614, 891, 754, 50, 299, 794, 369, 203, 775, 715, 775, 794, 238, 957, 374, 734, 374, 174, 565, 174, 450, 940, 877, 277, 67, 214, 748, 324, 747, 277, 23, 308, 526, 821, 526, 47, 622, 899, 318, 530, 92, 763, 317, 773, 536, 474, 902, 862, 502, 763, 70, 862, 373, 275, 829, 908, 67, 681, 784, 156, 623, 504, 883, 681, 192, 984, 674, 667, 943, 856, 171, 816, 648, 836, 903, 739, 496, 153, 532]"
"[348, 621, 821, 285, 199, 18, 344, 187, 863, 360, 275, 326, 222, 178, 203, 360, 865, 851, 259, 486, 845, 643, 653, 643, 114, 599, 923, 982, 799, 327, 509, 932, 874, 168, 500, 237, 342, 391, 976, 467, 572, 102, 184, 534, 129, 595, 129, 672, 515, 595, 517, 319, 754, 744, 583, 996, 813, 996, 666, 980, 541, 980, 908, 288, 403, 518, 75, 786, 404, 643, 197, 619, 108, 892, 386, 713, 491, 859, 660, 391, 290, 863, 543, 684, 116, 406, 812, 423, 80, 620, 384, 651, 291, 321, 101, 321, 558, 609, 905, 655]"
"[976, 28, 976, 94, 320, 235, 391, 94, 972, 94, 851, 94, 71, 362, 71, 630, 52, 168, 67, 630, 52, 362, 30, 53, 391, 343, 162, 730, 356, 781, 678, 881, 969, 232, 202, 249, 678, 249, 452, 96, 583, 96, 393, 96, 969, 84, 393, 421, 128, 421, 704, 161, 969, 346, 510, 161, 789, 346, 789, 869, 969, 346, 907, 301, 510, 301, 510, 314, 133, 301, 219, 555, 706, 799, 799, 318, 854, 959, 86, 799, 639, 174, 706, 707, 296, 707, 649, 360, 168, 346, 296, 360, 168, 787, 168, 10, 726, 901, 951, 621]"
"[879, 596, 890, 781, 866, 394, 475, 818, 483, 861, 171, 91, 337, 792, 99, 787, 366, 332, 531, 685, 195, 194, 398, 447, 82, 234, 578, 147, 375, 359, 876, 909, 728, 862, 816, 250, 562, 339, 591, 802, 159, 547, 741, 612, 422, 796, 488, 83, 506, 493, 78, 373, 16, 516, 30, 772, 499, 768, 325, 938, 680, 319, 895, 608, 278, 812, 808, 571, 957, 376, 622, 219, 82, 528, 707, 42, 53, 53, 815, 370, 139, 799, 596, 188, 616, 782, 138, 130, 438, 503, 929, 617, 161, 196, 863, 483, 995, 587, 289, 770]"
"[268, 557, 781, 791, 895, 557, 125, 549, 7, 464, 656, 303, 339, 945, 339, 763, 754, 685, 463, 454, 97, 685, 339, 887, 338, 184, 589, 320, 381, 320, 286, 547, 568, 396, 499, 547, 723, 396, 536, 641, 568, 144, 353, 565, 352, 547, 428, 547, 428, 852, 111, 913, 428, 913, 244, 373, 497, 174, 497, 963, 497, 174, 903, 55, 206, 259, 187, 353, 497, 604, 14, 604, 497, 601, 14, 120, 609, 260, 822, 120, 311, 769, 647, 923, 655, 203, 455, 923, 254, 403, 194, 496, 417, 490, 455, 20, 96, 686, 808, 709]"
